umur,kelompok_umur,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
0-4,0-14,22002.9,21994.3,21991.3,21990.1,21974.3,21952,21892,21856.2,21845,21858.4,21896.2,21942.5,21981.6,22013.9,22039.6,22059.1,22072.9,22081.2,22084.1,22081.6,22075,22065,22053.3,22040.1,22026.1,22011.7,21997.4,21984.1,21972.9,21964.7,21959.7
5-10,0-14,22195.6,22163.7,22106.7,22043.6,21998.8,21945.2,21939.2,21938.8,21940,21926.6,21906.4,21848.4,21814.5,21804.9,21819.9,21859.1,21906.6,21946.9,21980.3,22007.1,22027.5,22042.2,22051.4,22055,22053.5,22047.3,22038,22027,22014.2,22000.8,21986.9
11-14,0-14,22225.8,22225,22229,22226.1,22200.2,22168.9,22138,22082.2,22020.2,21976.4,21923.7,21918.7,21919,21921,21908.3,21888.8,21831.4,21798.1,21789.1,21804.5,21844.1,21892,21932.7,21966.5,21993.5,22014.2,22029.2,22038.6,22042.6,22041.3,22035.5
15-19,15-64,22159.2,22148.9,22141.8,22133.9,22134.8,22139.4,22140,22144.6,22143.1,22118.4,22088.5,22058.7,22003.8,21943,21900.2,21848.5,21844.3,21845.4,21848,21836,21817,21760.3,21727.6,21719.1,21735,21774.9,21823,21863.8,21897.8,21925.1,21946
20-24,15-64,21940.3,21950.9,21963.3,21967.4,21964.1,21958.3,21950.2,21945.3,21939.3,21942,21948.3,21950.2,21956.8,21956.6,21933.1,21904.6,21876.3,21823.1,21763.7,21722.2,21671.7,21668.6,21670.5,21673.8,21662.5,21644.3,21588.7,21556.8,21549,21565.2,21605.2
25-29,15-64,21528.8,21572,21609.5,21647.3,21678.6,21700,21713.1,21727.9,21734.3,21733.2,21729.6,21723.6,21720.6,21716.4,21720.7,21728.5,21731.7,21739.5,21740.5,21718.5,21691.3,21664.2,21612.4,21554.4,21514.1,21464.9,21462.5,21465.1,21469.1,21458.5,21441
30-34,15-64,21008.9,21112.4,21178.8,21221.5,21257.7,21302,21347.6,21387.5,21427.5,21461,21484.5,21499.7,21516.4,21524.7,21525.4,21523.6,21519.2,21517.6,21514.9,21520.5,21529.3,21533.7,21542.4,21544.3,21523.4,21497.2,21471.1,21420.6,21363.7,21324.4,21276.3
35-39,15-64,19759.7,19986.7,20214.3,20436.5,20631.1,20783.2,20889,20957.9,21003.3,21041.9,21088.6,21136.4,21178.4,21220.3,21255.7,21281,21298,21316.4,21326.2,21328.5,21328.1,21325.1,21324.9,21323.3,21330,21339.7,21345,21354.5,21357.3,21337.4,21312.2
40-44,15-64,18452.7,18702.3,18924.4,19123.7,19319.5,19524,19752.4,19981.4,20204.8,20400.8,20554.7,20662.7,20734.1,20781.9,20823,20871.8,20921.6,20965.5,21009.2,21046.2,21073.2,21091.8,21111.7,21123,21126.8,21127.8,21126,21127,21126.6,21134.2,21144.9
45-49,15-64,16302.2,16716.7,17120,17504.5,17860.9,18164.2,18414.8,18638.5,18839.5,19037.1,19243.2,19472.7,19702.5,19926.7,20123.7,20278.9,20388.7,20462.1,20512.2,20555.6,20606.4,20658.1,20703.6,20749,20787.6,20816.1,20836.4,20857.7,20870.5,20875.7,20878.1
50-54,15-64,13834.6,14249.5,14672.3,15090,15502.4,15923,16334,16734,17115.6,17469.7,17771.9,18022.5,18246.5,18448.4,18646.7,18853.3,19082.6,19312,19535.7,19732.4,19888,19998.8,20073.8,20125.9,20171.1,20223.8,20276.9,20323.9,20370.7,20410.7,20440.8
55-59,15-64,11183.9,11622.1,12046.6,12468,12891.1,13323.8,13730.5,14144.7,14554.3,14958.8,15371.3,15774.7,16167.3,16541.9,16889.6,17187.4,17434.9,17656.8,17857.1,18054,18258.8,18485.4,18711.7,18932.2,19126.3,19280.3,19390.6,19466.2,19519.5,19566.1,19619.9
60-64,15-64,8490.2,8879.8,9289.4,9712.2,10123.5,10521.8,10942.1,11349.8,11754.8,12161.6,12577.5,12969.1,13367.7,13762,14151.4,14548.3,14936.7,15314.6,15675.2,16010,16297.7,16537.4,16752.9,16947.9,17139.6,17338.7,17558.4,17777.6,17990.8,18178.5,18327.7
65-69,65+,6205.8,6478.8,6752.2,7035.5,7347.7,7680.2,8040.9,8419.6,8810.5,9191.4,9560.8,9951.5,10330.8,10707.6,11086.1,11472.6,11837.6,12208.5,12575.5,12938,13307.3,13668.9,14020.5,14355.9,14667.1,14935.6,15159.6,15361.7,15545.3,15726,15913.5
70-74,65+,4036,4250.2,4480.8,4723.9,4976.7,5242.4,5479.6,5717.8,5964.9,6237.4,6528.1,6842.9,7172.8,7512.7,7844.7,8166.8,8508.7,8840.7,9170.6,9501.7,9839.5,10159.5,10484.1,10805.3,11122.4,11445.4,11761.9,12069.4,12362.4,12634.1,12869.3
75+,65+,4261.3,4443.2,4635.1,4837.4,5050.5,5275,5545.1,5832.9,6135.3,6450.5,6781.2,7121.6,7472.5,7838.2,8229.8,8643.8,9080.1,9532,9999,10475.4,10957,11468.3,11979.4,12496.2,13017.2,13543.7,14076,14608.5,15139.8,15668.6,16204
